Date,MedianPrice
4/30/08,151458
5/31/08,156325
6/30/08,159525
7/31/08,162417
8/31/08,159083
9/30/08,155559
10/31/08,150142
11/30/08,149476
12/31/08,150417
1/31/09,143717
2/28/09,140717
3/31/09,139800
4/30/09,144500
5/31/09,150167
6/30/09,154667
7/31/09,161500
8/31/09,163467
9/30/09,161067
10/31/09,158900
11/30/09,154933
12/31/09,156000
1/31/10,153500
2/28/10,152222
3/31/10,148555
4/30/10,150388
5/31/10,155000
6/30/10,160153
7/31/10,159987
8/31/10,159987
9/30/10,157500
10/31/10,158800
11/30/10,158467
12/31/10,158474
1/31/11,154507
2/28/11,150153
3/31/11,148313
4/30/11,150779
5/31/11,157133
6/30/11,162833
7/31/11,162867
8/31/11,162367
9/30/11,157333
10/31/11,157833
11/30/11,153333
12/31/11,155500
1/31/12,153300
2/29/12,154967
3/31/12,154933
4/30/12,159967
5/31/12,165883
6/30/12,174583
7/31/12,182583
8/31/12,182512
9/30/12,179762
10/31/12,174355
11/30/12,175285
12/31/12,176368
1/31/13,178775
2/28/13,177333
3/31/13,182833
4/30/13,185917
5/31/13,196917
6/30/13,201083
7/31/13,207967
8/31/13,206633
9/30/13,198950
10/31/13,194317
11/30/13,191617
12/31/13,194400
1/31/14,190733
2/28/14,189767
3/31/14,184667
4/30/14,186983
5/31/14,188520
6/30/14,195187
7/31/14,195537
8/31/14,196833
9/30/14,193500
10/31/14,190167
11/30/14,184847
12/31/14,183847
1/31/15,182847
2/28/15,182333
3/31/15,182500
4/30/15,185833
5/31/15,194167
6/30/15,196967
7/31/15,197633
8/31/15,191933
9/30/15,184933
10/31/15,179267
11/30/15,175633
12/31/15,174398
1/31/16,173798
2/29/16,169964
3/31/16,172900
4/30/16,177833
5/31/16,186000
6/30/16,192000
7/31/16,194167
8/31/16,191833
9/30/16,185833
10/31/16,181467
11/30/16,182250
12/31/16,179917
1/31/17,179033
2/28/17,173867
3/31/17,174867
4/30/17,177700
5/31/17,187217
6/30/17,194967
7/31/17,194360
8/31/17,191560
9/30/17,187060
10/31/17,187500
11/30/17,184817
12/31/17,184567
1/31/18,181433
2/28/18,181973
3/31/18,183939
4/30/18,188156
5/31/18,196417
6/30/18,203569
7/31/18,207869
8/31/18,203419
9/30/18,197633
10/31/18,195000
11/30/18,195000
12/31/18,195167
1/31/19,193167
2/28/19,191500
3/31/19,194633
4/30/19,203300
5/31/19,212967
6/30/19,217967
7/31/19,217417
8/31/19,215542
9/30/19,209875
10/31/19,210092
11/30/19,208967
12/31/19,211333
1/31/20,206567
2/29/20,206550
3/31/20,214183
4/30/20,224283
5/31/20,230349
6/30/20,228766
7/31/20,228205
8/31/20,227123
9/30/20,231073
10/31/20,232467
11/30/20,234800
12/31/20,229800
1/31/21,227755
2/28/21,227622
3/31/21,232289
4/30/21,239457
5/31/21,248561
6/30/21,253895
7/31/21,255355
8/31/21,253333
9/30/21,252222
10/31/21,252305
11/30/21,252888
12/31/21,254967
1/31/22,251300
2/28/22,251433
3/31/22,253800
4/30/22,264967
