RegionID,SizeRank,RegionName,RegionType,StateName,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22
102001,0,United States,Country,,271600,272967,279333,288667,295633,299267,299900,299600,299167,298500,297133,294233,291567,292933,297967,306333,314300,320800,322433,319800,315487,312153,307153,303267,299800,301467,306500,313000,320633,328325,335325,340325,342567,343567,342267,338000,333633,333967,340833,354200,367530,378327,381657,380827,377497,376833,376000,375027,374027,378693,388000,404633,421633
394913,1,"New York, NY",Msa,NY,517967,523000,534333,544667,554667,560000,561267,556229,551229,550511,550548,550215,549333,549333,554667,563333,573300,578267,578267,574633,573000,574333,577667,579000,577667,579633,586300,594300,599000,602333,612633,629300,642800,649500,652833,657667,664300,669633,673967,677000,677000,670667,660667,648667,642333,641000,644333,647997,655997,669330,685333,695333,698667
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,798833,804911,821577,838577,849667,849667,841333,824333,803000,786333,774726,763056,754389,751329,763000,779967,804633,825467,841833,848500,847667,847667,847667,849300,852633,869300,889333,892629,888963,895629,927667,958000,970667,975333,980667,991000,997667,999333,1012333,1019333,1022667,1009967,999300,979133,959167,946500,946667,950000,958333,973333,990000,998333,999966
394463,3,"Chicago, IL",Msa,IL,301332,305967,319467,336133,346133,348617,344950,338283,330967,324933,318300,309933,303267,306600,319633,336000,345933,348465,345430,338797,331599,324933,319633,311300,306333,309967,320800,328800,332167,336667,343633,348633,349967,349667,346300,340967,332967,333083,338383,346717,353267,355933,355933,349300,341663,334963,329963,324325,320475,321808,329083,339633,349633
394514,4,"Dallas-Fort Worth, TX",Msa,TX,341634,345000,351633,359633,365967,365667,359300,350463,344097,340763,339600,337933,334633,334633,339333,347633,354467,355800,354000,348500,344167,341000,339967,338300,334967,334000,335667,338967,343133,348133,354800,358133,359767,358797,356963,353663,351663,353476,359576,369212,379400,388300,394667,397967,399633,400630,404997,411663,419300,425297,438627,455327,474963
394974,5,"Philadelphia, PA",Msa,PA,252633,249633,253833,260800,270254,276087,279421,278267,276433,274766,272132,266599,258300,254300,258000,267667,279300,287933,293267,293300,293333,293657,293657,290324,286500,286467,289800,294633,301333,311333,323333,333000,336333,338000,336667,333333,328300,324967,326600,333300,339967,346000,342633,337300,331267,329633,329633,327967,323967,319300,316000,318333,326633
394692,6,"Houston, TX",Msa,TX,315271,317637,320914,325635,329111,330574,327459,322593,316267,312893,309649,308027,306567,307865,311109,315975,320160,321620,319965,316073,311920,309260,307107,304901,302403,302056,304958,307810,311964,316556,322447,327281,331498,335012,337249,336001,333982,333145,337908,345423,356088,365328,371500,372635,371283,371281,371478,371236,370403,372253,378813,388480,396963
395209,7,"Washington, DC",Msa,DC,431663,431333,441667,452667,464667,474967,480633,477300,467333,461633,456600,449900,443233,443267,454967,471667,488065,496065,495732,489300,484633,483300,485000,483300,481633,486600,501600,513263,523263,531630,544297,550988,548238,542006,533678,527728,521297,519633,520000,528000,534667,539667,536633,531633,526633,525167,525167,526163,530996,542330,557998,574665,588298
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,398603,398603,399949,401331,402979,403315,403581,403278,402942,402640,401597,400251,398906,398603,399915,401260,402942,403312,406003,407685,407685,405331,404032,404032,404032,403649,405331,404994,404658,402640,402976,404994,407012,408796,407258,404360,401327,399800,401467,409833,,,,,,479633,487967,494967,505000,523330,549663,577997,610667
394347,9,"Atlanta, GA",Msa,GA,309981,314933,323600,335300,344667,349633,344933,337933,329633,324982,320952,317585,313903,313267,317100,326800,338133,344333,344633,339933,334900,330550,327250,325283,323703,323703,325703,327163,330497,336497,344333,351000,354667,356300,354633,351600,349933,351188,357887,374251,389630,401297,403600,403933,402267,400300,400000,399967,399633,398633,398667,404000,413667
