Location,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22
"Birmingham, AL",151458,156325,159525,162417,159083,155559,150142,149476,150417,143717,140717,139800,144500,150167,154667,161500,163467,161067,158900,154933,156000,153500,152222,148555,150388,155000,160153,159987,159987,157500,158800,158467,158474,154507,150153,148313,150779,157133,162833,162867,162367,157333,157833,153333,155500,153300,154967,154933,159967,165883,174583,182583,182512,179762,174355,175285,176368,178775,177333,182833,185917,196917,201083,207967,206633,198950,194317,191617,194400,190733,189767,184667,186983,188520,195187,195537,196833,193500,190167,184847,183847,182847,182333,182500,185833,194167,196967,197633,191933,184933,179267,175633,174398,173798,169964,172900,177833,186000,192000,194167,191833,185833,181467,182250,179917,179033,173867,174867,177700,187217,194967,194360,191560,187060,187500,184817,184567,181433,181973,183939,188156,196417,203569,207869,203419,197633,195000,195000,195167,193167,191500,194633,203300,212967,217967,217417,215542,209875,210092,208967,211333,206567,206550,214183,224283,230349,228766,228205,227123,231073,232467,234800,229800,227755,227622,232289,239457,248561,253895,255355,253333,252222,252305,252888,254967,251300,251433,253800,264967
"Little Rock, AR",137667,141667,144817,147483,145817,143667,141667,141333,139333,136333,137167,136500,139700,140301,145634,147768,149667,147167,144167,142333,141133,146133,145300,147000,143667,148333,151000,154053,154020,151908,152189,150889,152500,152167,149833,149333,149667,153667,156000,154333,152333,149967,149300,148467,150833,152833,155333,152817,153950,153950,158467,160167,163500,164267,165767,165727,165627,162961,161707,161707,165348,169975,175642,179000,179000,176633,172967,172967,174633,173283,171583,166950,169194,170894,176544,180983,184317,181917,178233,173900,173650,173665,172665,171998,173942,177608,182275,182333,184000,181667,179103,172436,165103,157667,154333,154667,156667,158333,160333,160000,157500,154133,159100,161567,166200,162900,167933,165333,167333,164000,170300,168300,167633,160667,158867,157867,156533,156633,155633,156467,158667,161883,166383,168717,165500,162167,159333,161472,162122,162122,160975,160825,162425,166350,170517,172218,173052,170718,169050,169383,169050,168250,165307,170090,176340,179533,180083,181333,186000,186833,187167,187167,188688,185688,182355,182300,189933,197300,200667,203367,204333,206000,203333,204733,209353,209353,207953,206567,213150
"Phoenix, AZ",225833,225333,225333,221667,217333,209667,205501,200136,194144,184875,177874,173166,169933,166633,164667,163000,159667,157000,154475,154808,152808,151333,148967,148965,149632,149998,150094,148428,145261,143101,142268,142401,141133,138633,136667,134667,134633,132633,131300,129000,128667,128667,128000,129667,131333,134333,135000,138000,143000,,156667,160000,161933,163267,166267,168776,172110,173110,174000,177333,181667,187333,191333,196000,197000,197967,198633,200300,201333,200967,200633,200933,201967,203967,206667,208333,210000,208000,208408,207576,210576,210801,211967,211300,212167,215849,219816,222608,222592,222625,224000,225505,227618,227285,228113,227500,230250,233250,236750,237667,238333,240000,242333,243976,243976,242912,242927,242927,244991,247000,250333,253000,254333,254333,255818,257151,258485,258321,260623,262623,264135,266833,270167,274362,274182,274182,274487,275667,277259,277259,276592,275592,277258,281592,285055,287722,288409,290053,293053,294700,298167,299167,303200,305697,309030,309660,311330,314663,321633,327633,334300,336792,337792,339458,345333,354099,364266,376766,389333,399489,406307,412973,419984,425333,429500,434000,441000,453467,464967
"Tucson, AZ",211333,210000,208330,209248,207582,201585,199000,194000,195000,194667,195083,192417,189417,189000,187250,184333,180000,177917,174167,172340,170506,175506,173333,172023,167857,168690,168000,168833,169000,170333,167498,169815,171232,169067,162750,156983,156983,156650,155667,151969,150303,147051,145748,144282,143533,142535,142735,146033,148698,150306,151341,153008,154333,157220,156803,158937,159384,160800,161183,161833,163333,164150,166167,167917,169750,168750,167833,169333,168667,169667,167667,169667,169417,171417,174083,180000,181117,181083,179417,176600,174783,172491,173858,174041,173803,174136,174136,176667,179417,181083,181083,179983,181650,181317,180667,178500,179500,180500,185667,188333,191967,188300,186200,185233,185900,186333,188000,190667,193917,196124,200124,201874,200000,201333,202333,206000,206000,203750,201750,200083,204650,207983,208983,209000,210667,213173,213840,216840,217000,219667,216742,217634,217300,222225,226000,229667,228000,227667,228188,226855,229522,227460,232126,233426,237383,237383,238155,242405,247405,251667,255000,258333,259667,262333,265667,274333,280000,289500,297833,304350,308183,309850,313000,314667,316383,316717,320050,323833,333617
"Los Angeles-Long Beach-Anaheim, CA",503333,496667,491667,483333,470000,455000,443333,433333,427833,413000,409333,401500,401333,403333,411667,420000,419250,417583,414167,411583,404917,400000,393333,393333,393333,402167,402167,406833,403000,404667,398333,396667,391667,386667,381333,381333,386333,391667,395000,396667,391667,386667,376667,371667,363333,358000,355333,360333,372333,382000,388667,392667,395667,397000,398000,399667,406000,406000,407667,414583,437000,459667,475083,478000,479167,476083,474750,475083,479500,478833,481333,484667,494667,504667,511250,517917,520417,519167,515833,511667,509667,508000,510583,515917,525583,531333,538333,539333,541000,535667,533333,533333,539000,541333,541333,542333,551667,564833,574833,576500,575000,571667,572667,572667,573500,572500,571742,579242,590909,604000,610667,615667,618000,619667,616333,616625,616458,613125,616167,622333,635667,644333,651667,655000,655000,650000,648333,646333,642000,634333,629667,634000,645000,650000,655000,661667,664333,664333,658333,659000,662333,665000,666997,673330,676663,676333,676667,691333,713667,730333,738167,739167,737500,732500,737500,752500,777667,802667,819333,828000,829667,829667,829167,830833,839167,846667,860000,875333,902667
"San Francisco, CA",576667,573333,562333,549667,526333,498333,463333,429667,401667,366667,347000,337000,350333,372033,403367,422700,427817,426150,424817,426333,421333,405000,391833,390167,405167,427000,442000,455000,453000,446333,436667,430000,420000,396667,378333,380000,391667,406667,412667,417333,412333,399333,386500,379833,371000,357500,344167,350000,378333,415667,442708,457708,452042,444667,439667,450333,455725,444058,432558,447500,499000,549833,584833,593500,585167,566833,559667,560333,557000,543333,537667,555917,588250,614917,627833,630167,633500,625667,621333,613000,607417,591833,588500,607417,638333,664667,671667,670833,661167,649167,641667,648667,654333,651000,642667,643167,666667,692667,723167,729667,716667,690000,683333,688821,693821,673821,669675,687675,734342,761333,775000,768333,761667,750000,756667,770000,773333,748333,740000,765333,813000,843333,858000,853667,835000,807500,802500,802500,796333,764000,757333,769000,811333,836333,853333,839367,821033,796700,803000,809333,815333,794667,781667,790000,817667,837667,852500,869833,891500,901667,901333,900917,891333,873833,872583,903833,974333,1032667,1061000,1058333,1033333,1011667,1001667,1000000,983333,946667,948000,999000,1095667
"Riverside, CA",316577,308243,303167,294667,282667,271000,264333,257667,251333,238000,229583,223750,223250,219000,216500,214333,214000,208667,209000,212333,216000,214500,210417,209417,206583,208500,209167,211833,207667,204667,202000,203333,202856,202856,201189,201250,200583,200583,199333,199000,197333,195667,194333,194333,192667,191333,191333,195000,198667,202000,203333,205333,201333,201333,202667,211667,218333,221667,222000,226000,233583,241917,247917,252333,255333,257000,258833,260500,263833,265000,267667,269333,272667,277500,280833,282500,281333,278167,277833,282500,287333,285333,286000,287667,295500,297167,300500,303333,303500,302833,301167,302667,305000,305000,305667,308833,314833,319500,319667,322000,322333,324667,323000,324000,326667,326667,328333,329667,336667,340000,343667,346667,349667,348833,347167,347500,350000,352667,357667,360167,364500,366167,368667,370750,370083,370500,368250,370917,370500,368667,366667,368500,374333,376000,375833,376333,377333,379000,379333,383000,384667,385833,387500,391500,393667,395667,398500,406833,413500,421667,426667,431667,435000,437667,442667,451000,463333,475000,485000,493333,498333,500000,501667,505917,515083,521750,529167,538333,551667
"San Diego, CA",456000,444000,442750,431667,425000,411667,401667,388000,376667,363333,358667,355000,356667,360000,366667,370667,372333,370333,368000,364333,364833,359500,359667,361167,365333,368833,368833,373333,376333,375667,373332,368665,367665,356667,350000,351333,359667,365833,364500,364500,361667,355000,351667,346667,346667,341667,340000,340000,346000,354333,360333,362500,363667,361333,363167,366333,374333,374667,375333,380000,397000,415333,425667,431667,430000,431667,428333,429667,428667,428667,426000,430333,438667,448333,454167,457167,460500,459667,457333,450667,447333,446333,449667,456000,462000,470333,477333,482833,482833,476000,471500,476167,482667,485333,478167,476833,485833,498333,505000,505833,507500,509833,515167,514000,513333,508667,508167,516167,523333,536667,543667,550000,551667,548333,546667,548333,552667,552667,550833,554500,567833,579667,586667,590000,594167,594833,589866,587306,579806,578107,571500,575000,578333,581667,590000,592500,599167,590833,591667,594000,596333,598833,599000,605333,604500,602000,603167,616833,633500,652000,658333,663333,660000,659500,666167,684500,708333,728333,745000,751667,748667,747000,748667,757417,759083,764083,776667,800000,828333
"Sacramento, CA",325167,317167,309167,301167,295750,288083,287417,281333,277250,262583,251583,246667,246333,249667,248000,250000,248333,246667,243333,238083,234750,229750,226667,226833,228167,229833,232250,235667,234000,232083,229000,233333,232667,227667,223250,219917,223083,220833,222500,221000,222750,221083,215750,208000,203000,199333,199833,199167,205833,210000,215000,219000,222333,224833,226500,230500,235333,237000,238333,244333,254000,265667,276167,283833,286083,285917,285833,286083,285083,281167,284333,289000,297333,305000,310000,314000,312333,311333,310667,307833,310167,306833,314667,313333,321667,323333,328333,328333,326833,325167,326500,329667,333083,331750,330083,332500,340500,349667,355500,358167,359833,359833,361167,360000,359750,355750,354583,357500,364500,374333,381667,387500,387500,387500,390000,391667,392333,386667,387667,390333,399333,405000,410000,411667,410000,408333,405000,406000,402667,399000,397500,400833,411167,418333,425000,426667,426667,423000,419667,419500,421500,423500,425333,430333,436667,439667,443167,452500,462833,472667,477667,479333,477667,473333,478333,490083,505083,521167,536083,546750,550333,546500,544167,544000,542833,539833,545000,564667,582667
"San Jose, CA",699667,696667,693333,680250,655083,625083,594667,561333,532667,504667,496333,480833,488667,507000,534917,552417,549083,538667,530000,523833,525500,509967,497800,501134,520000,545000,550000,561167,554500,551167,543333,536667,531667,503833,491333,492333,511833,527667,539958,546625,544958,526000,506000,496333,485333,470333,458500,468500,503417,536583,562917,578000,585500,577500,567500,569792,573125,572667,571208,589542,631667,666417,689250,689917,685167,677333,675000,673333,666667,651000,655417,678083,713500,734083,744750,741667,738333,730000,731333,728000,721333,702667,701000,724333,761333,796333,814667,831667,833333,822667,806000,796000,792667,779000,777333,789667,831667,865167,876000,873167,851500,845667,840167,841667,835000,823333,825000,855000,893333,928333,941667,948333,942667,946000,950667,971333,976333,970500,1000500,1075500,1143333,1176667,1160000,1140750,1125750,1086417,1089000,1055667,1038917,1000417,988750,1016167,1048333,1081667,1100333,1100667,1073997,1033997,1006663,1014167,1010500,992167,1006167,1049167,1110833,1125667,1128000,1128000,1135333,1133667,1143667,1129000,1125167,1111167,1120500,1163500,1224167,1279167,1310000,1311667,1315417,1297083,1303750,1310000,1325083,1295083,1318083,1380500,1485500
